publication_id,output_filename,generator,generator_function,required_inputs,upstream_dependency,reproducible_from_archive,external_or_unavailable,verification,notes
Figure 1,"outputs/figures/Figure1.{png,pdf,svg}",src/slahla_pub/figures_final.py,identity,data/source_data/figure1A_locus_identity_matrix.csv; data/source_data/figure1BC_plotted_values.csv,DIAMOND all-vs-all over IPD-IMGT/HLA + IPD-MHC (optional upstream),recomputed,,pixel + ink-bbox comparison against publication_artwork/figures/Figure1.png,"A: average-linkage clustermap, 100 - symmetrised identity as distance. B/C: mean best-match identity with 95% intervals."
Figure 2,"outputs/figures/Figure2.{png,pdf,svg}",src/slahla_pub/figures_final.py,classifier,data/source_data/canonical_ensemble_predictions.csv; data/source_data/canonical_validation_across_seeds.csv; data/source_data/leave_one_seed_out_by_locus.csv,slahla_pub.ensemble from the 10 archived five-seed prediction tables,recomputed,,pixel comparison; panels driven by tables verified EXACT against the archive,All three input tables are themselves recomputed by make reproduce.
Figure 3,"outputs/figures/Figure3.{png,pdf,svg}",src/slahla_pub/figures_final.py,relationships,data/source_data/figure3_unthresholded_relationships.csv,slahla_pub.ensemble (subgroup relationships),recomputed,,pixel comparison; edge audit written to outputs/audit/,No probability threshold: every nonzero relationship is drawn.
Figure 4,"outputs/figures/Figure4.{png,pdf,svg}",src/slahla_pub/figures_final.py,eplets,data/source_data/Figure4_plotted_values.csv,slahla_pub.eplet_stats from identity_eplet_agreement.parquet,recomputed (carried from archived statistics without the eplet mask),recomputation of its plotted values needs the eplet position mask; without it the archived values are used,input table verified EXACT against the archive; pixel comparison,Displays mismatch (1 - agreement); the bootstrap interval inverts sign with it.
Figure 5,"outputs/figures/Figure5.{png,pdf,svg}",src/slahla_pub/figures_final.py,structures,data/structural_panels/*.png; data/structural_panels/render_report.json; data/source_data/structural_labels_v6.csv; data/source_data/structural_panel_manifest_v6.csv,PyMOL rendering of the deposited models (archived; regenerate with make structures),recomputed from archived rendered panels,rendered PyMOL rasters are an archived upstream result,pixel comparison; label audit written to outputs/audit/,"6 class I panels. Panel assembly, label projection and placement are recomputed; the rasters are not re-rendered by the default workflow."
Figure 6,"outputs/figures/Figure6.{png,pdf,svg}",src/slahla_pub/figures_final.py,structures,data/structural_panels/*.png; data/structural_panels/render_report.json; data/source_data/structural_labels_v6.csv; data/source_data/structural_panel_manifest_v6.csv,PyMOL rendering of the deposited models (archived; regenerate with make structures),recomputed from archived rendered panels,rendered PyMOL rasters are an archived upstream result,pixel comparison; label audit written to outputs/audit/,"3 class II panels. Panel assembly, label projection and placement are recomputed; the rasters are not re-rendered by the default workflow."
Figure S1,"outputs/figures/FigureS1.{png,pdf,svg}",src/slahla_pub/figures_final.py,identity,data/source_data/figureS1_accessory_identity_matrix.csv,DIAMOND all-vs-all (optional upstream),recomputed,,canvas matches exactly; pixel comparison,"The delivery script built this figure and discarded it; the save is restored here. Full canvas, not ink-cropped."
Figure S2,"outputs/figures/FigureS2.{png,pdf,svg}",src/slahla_pub/figures_final.py,qc,data/source_data/canonical_qc_class1_training_histories.csv; data/source_data/canonical_qc_class1_locus_confusion_rownormalised_pooled.csv,"classifier training runs (optional upstream, GPU)",recomputed,,pixel comparison,Numeric cell labels are deliberately omitted from panel C.
Figure S6,"outputs/figures/FigureS6.{png,pdf,svg}",src/slahla_pub/figures_final.py,qc,data/source_data/canonical_qc_class2_training_histories.csv; data/source_data/canonical_qc_class2_locus_confusion_rownormalised_pooled.csv,"classifier training runs (optional upstream, GPU)",recomputed,,pixel comparison,Numeric cell labels are deliberately omitted from panel C.
Figure S3,"outputs/figures/FigureS3.{png,pdf,svg}",src/slahla_pub/figures_final.py,qc,data/source_data/figureS3_HLA-A_confusion_canonical_rownormalised_pooled.csv,"classifier training runs (optional upstream, GPU)",recomputed,,canvas matches exactly; pixel comparison,"Built and discarded by the delivery script; the save is restored here. Full canvas, not ink-cropped."
Figure S4,"outputs/figures/FigureS4.{png,pdf,svg}",src/slahla_pub/figures_final.py,qc,data/source_data/figureS4_HLA-B_confusion_canonical_rownormalised_pooled.csv,"classifier training runs (optional upstream, GPU)",recomputed,,canvas matches exactly; pixel comparison,"Built and discarded by the delivery script; the save is restored here. Full canvas, not ink-cropped."
Figure S5,"outputs/figures/FigureS5.{png,pdf,svg}",src/slahla_pub/figures_final.py,qc,data/source_data/figureS5_HLA-C_confusion_canonical_rownormalised_pooled.csv,"classifier training runs (optional upstream, GPU)",recomputed,,canvas matches exactly; pixel comparison,"Built and discarded by the delivery script; the save is restored here. Full canvas, not ink-cropped."
Figure S7,"outputs/figures/FigureS7.{png,pdf,svg}",src/slahla_pub/figures_final.py,qc,data/source_data/figureS7_classII_confusion_canonical_rownormalised_pooled.csv,"classifier training runs (optional upstream, GPU)",recomputed,,canvas matches exactly; pixel comparison,"Built and discarded by the delivery script; the save is restored here. Full canvas, not ink-cropped."
Figure S8,"outputs/figures/FigureS8.{png,pdf,svg}",src/slahla_pub/figures_final.py,profiles,data/source_data/figureS8_S13_UPDATED_plotted_values.csv,slahla_pub.eplet_stats / sequence agreement,recomputed (needs the locally supplied eplet mask),"requires the HLA eplet position mask, which is not shipped; supply it with `python -m slahla_pub.eplet_mask --from-registry DIR`",not produced by the public bundle alone; the run reports it as a missing external input,class I residue agreement by HLA comparator locus. Filename retains its historical v5 stem.
Figure S9,"outputs/figures/FigureS9.{png,pdf,svg}",src/slahla_pub/figures_final.py,profiles,data/source_data/figureS8_S13_UPDATED_plotted_values.csv,slahla_pub.eplet_stats / sequence agreement,recomputed (needs the locally supplied eplet mask),"requires the HLA eplet position mask, which is not shipped; supply it with `python -m slahla_pub.eplet_mask --from-registry DIR`",not produced by the public bundle alone; the run reports it as a missing external input,class II residue agreement by HLA comparator locus. Filename retains its historical v5 stem.
Figure S10,"outputs/figures/FigureS10.{png,pdf,svg}",src/slahla_pub/figures_final.py,profiles,data/source_data/figureS_identity_eplet_agreement_corrected_p_plotted_values.csv; data/source_data/eplet_statistics_v6.csv,slahla_pub.eplet_stats,recomputed (needs the locally supplied eplet mask),"requires the HLA eplet position mask, which is not shipped; supply it with `python -m slahla_pub.eplet_mask --from-registry DIR`",not produced by the public bundle alone; the run reports it as a missing external input,"Significance labels are derived from circular_shift_p (which tests profile_difference), replacing two hard-coded strings in the delivery script."
Table S1,outputs/tables/publication/TableS1_haplotype_nearest_and_most_distant_HLA.csv,src/slahla_pub/tables.py + haplotypes.py,table_s1,data/haplotypes/*.xlsx (haplotype half); approved table (identity half),DIAMOND identity vs CIWD 3.0 (optional upstream),partial (6 of 13 columns recomputed),"n_ciwd_hits, nearest_*, most_distant_* need DIAMOND over IPD-IMGT/HLA + CIWD 3.0; not executed in the clean-environment run","82/82 alleles covered; 4 of 492 regenerated cells differ, all accessory-locus (DQA/DRA) multi-haplotype selection; see outputs/reports/tableS1_cell_differences.csv",Curated source input (the haplotype workbooks) ships. A local_name aggregation defect that caused 5 further differences has been fixed.
